Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
GET - Traffic Classification,50,20200,522,67905,17410.53,12.000%,.43514,0.12,0.07,293.3
GET - Traffic History by ID,50,22820,98,68842,23548.38,22.000%,.42934,0.12,0.07,276.5
GET - Average Speed,50,17194,1127,58938,17294.19,2.000%,.38887,0.07,0.06,181.2
GET - Traffic History,50,85013,20004,252043,55270.75,36.000%,.15949,1480.24,0.03,9503955.6
TOTAL,200,36307,98,252043,42984.21,18.000%,.63441,1472.14,0.10,2376176.6
