Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
GET - Traffic Classification,50,20200,14062,45535,47528,67905,522,67905,12.00%,0.43514,0.12,0.07
GET - Traffic History by ID,50,22820,8596,58985,67347,68842,98,68842,22.00%,0.42934,0.12,0.07
GET - Average Speed,50,17194,8686,51359,58878,58938,1127,58938,2.00%,0.38887,0.07,0.06
GET - Traffic History,50,85013,79655,139249,142053,252043,20004,252043,36.00%,0.15949,1480.24,0.03
TOTAL,200,36307,19903,101082,127394,200354,98,252043,18.00%,0.63441,1472.14,0.1
