Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
GET - Traffic Classification,250,64077,870,131920,43075.41,2.000%,1.38839,0.41,0.23,304.7
GET - Traffic History by ID,250,90753,76,159655,40642.89,11.600%,.88757,0.25,0.15,287.6
GET - Average Speed,250,125381,4330,277428,48975.92,19.600%,.45113,0.08,0.07,183.4
GET - Traffic History,203,282230,111395,571575,93276.72,68.966%,.23004,1035.34,0.04,4608707.9
TOTAL,953,133626,76,571575,99375.66,23.400%,1.07250,1028.42,0.17,981911.5
