Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
GET - Traffic Classification,250,64077,64894,126020,127648,130919,870,131920,2.000%,1.38839,0.41,0.23
GET - Traffic History by ID,250,90753,101167,132923,147143,155623,76,159655,11.600%,.88757,0.25,0.15
GET - Average Speed,250,125381,121648,175115,175818,276494,4330,277428,19.600%,.45113,0.08,0.07
GET - Traffic History,203,282230,272507,427357,499301,520729,111395,571575,68.966%,.23004,1035.34,0.04
TOTAL,953,133626,113104,275362,300156,499301,76,571575,23.400%,1.07250,1028.42,0.17
