timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1769132661577,81,GET - Traffic Classification,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-8,text,false,,2632,0,2,2,http://76.13.18.72:8000/api/traffic-classification,0,0,31
1769132661551,109,GET - Average Speed,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-7,text,false,,2632,0,2,2,http://76.13.18.72:8000/api/average-speed,0,0,45
1769132661660,89,GET - Traffic History,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-7,text,false,,2632,0,2,2,http://76.13.18.72:8000/api/traffic-history,0,0,27
1769132661658,91,GET - Traffic History by ID,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-8,text,false,,2632,0,2,2,http://76.13.18.72:8000/api/traffic-history/2000046,0,0,29
1769132662177,781,GET - Traffic Classification,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-11,text,false,,2632,0,7,7,http://76.13.18.72:8000/api/traffic-classification,0,0,34
1769132661979,980,GET - Traffic Classification,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-10,text,false,,2632,0,7,7,http://76.13.18.72:8000/api/traffic-classification,0,0,29
1769132661776,1182,GET - Traffic Classification,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-9,text,false,,2632,0,7,7,http://76.13.18.72:8000/api/traffic-classification,0,0,33
1769132662575,384,GET - Traffic Classification,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-13,text,false,,2632,0,7,7,http://76.13.18.72:8000/api/traffic-classification,0,0,35
1769132661750,1208,GET - Average Speed,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-8,text,false,,2632,0,7,7,http://76.13.18.72:8000/api/average-speed,0,0,29
1769132662378,582,GET - Traffic Classification,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-12,text,false,,2632,0,7,7,http://76.13.18.72:8000/api/traffic-classification,0,0,31
1769132662777,183,GET - Traffic Classification,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-14,text,false,,2632,0,7,7,http://76.13.18.72:8000/api/traffic-classification,0,0,32
1769132662959,95,GET - Traffic History by ID,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-10,text,false,,2632,0,8,8,http://76.13.18.72:8000/api/traffic-history/2000046,0,0,32
1769132662960,96,GET - Traffic History by ID,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-9,text,false,,2632,0,8,8,http://76.13.18.72:8000/api/traffic-history/2000046,0,0,31
