Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
GET - Traffic Classification,500,105753,227,202897,56825.00,0.200%,1.68064,0.51,0.28,311.6
GET - Traffic History by ID,500,81198,84,175810,52436.66,0.400%,1.71893,0.49,0.29,294.4
GET - Average Speed,500,43425,66,173326,49546.18,32.400%,1.77332,1.70,0.19,981.3
GET - Traffic History,500,15385,91,165200,27600.41,18.600%,2.05199,23.51,0.27,11731.2
TOTAL,2000,61440,66,202897,59150.12,12.900%,6.45245,20.98,0.92,3329.6
