Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
GET - Traffic Classification,500,105753,108868,181440,188009,198089,227,202897,0.200%,1.68064,0.51,0.28
GET - Traffic History by ID,500,81198,77265,154369,164127,171216,84,175810,0.400%,1.71893,0.49,0.29
GET - Average Speed,500,43425,21044,127188,154117,165934,66,173326,32.400%,1.77332,1.70,0.19
GET - Traffic History,500,15385,3925,21054,86420,143261,91,165200,18.600%,2.05199,23.51,0.27
TOTAL,2000,61440,37199,155491,169684,189037,66,202897,12.900%,6.45245,20.98,0.92
