Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
GET - Traffic Classification,200,16535,18341,24372,25004,25293,97,25619,0.000%,2.80387,0.84,0.47
GET - Traffic History by ID,200,4619,4150,12033,12442,13387,88,13879,0.000%,2.85853,0.80,0.48
GET - Average Speed,200,3436,789,10450,12133,13210,92,13995,0.000%,2.86238,0.57,0.45
GET - Traffic History,200,3032,833,9528,12236,13275,150,13488,0.000%,2.86845,38.70,0.46
TOTAL,800,6905,4223,19507,22897,25033,88,25619,0.000%,11.15309,39.79,1.82
