Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
GET - Traffic Classification,250,26608,26204,41209,42234,42920,3182,43620,0.000%,2.79952,0.84,0.47
GET - Traffic History by ID,250,13765,12518,29177,29873,30633,63,30725,0.000%,2.83312,0.79,0.48
GET - Average Speed,250,9643,6644,23386,29141,30282,60,30956,0.000%,2.68005,0.53,0.42
GET - Traffic History,250,6863,1175,22776,27522,30022,63,30280,2.800%,2.52278,33.27,0.39
TOTAL,1000,14220,13413,31150,37990,42471,60,43620,0.700%,9.75391,34.05,1.58
