Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
GET - Traffic Classification,100,36889,518,65405,22646.24,7.000%,.90659,0.26,0.15,299.0
GET - Traffic History by ID,100,25282,92,83776,19013.28,4.000%,.51708,0.15,0.09,295.7
GET - Average Speed,100,47460,884,101003,26754.16,30.000%,.33980,0.06,0.05,184.6
GET - Traffic History,100,107376,27654,236348,50736.77,52.000%,.27982,1947.83,0.04,7128014.9
TOTAL,400,54252,92,236348,45203.22,23.250%,1.11458,1939.84,0.18,1782198.6
