Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
GET - Traffic Classification,100,36889,40309,60524,61090,62799,518,65405,7.000%,.90659,0.26,0.15
GET - Traffic History by ID,100,25282,21067,52002,55736,83611,92,83776,4.000%,.51708,0.15,0.09
GET - Average Speed,100,47460,46229,79670,85352,100998,884,101003,30.000%,.33980,0.06,0.05
GET - Traffic History,100,107376,100932,194999,212852,231080,27654,236348,52.000%,.27982,1947.83,0.04
TOTAL,400,54252,47766,101000,137028,213587,92,236348,23.250%,1.11458,1939.84,0.18
