Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
GET - Traffic Classification,200,58264,67119,115549,118771,121556,549,123680,1.500%,1.15320,0.34,0.19
GET - Traffic History by ID,200,79367,87410,114293,123931,135761,92,135810,22.000%,.67268,0.18,0.11
GET - Average Speed,200,107466,108168,140347,175551,179624,3191,213905,21.000%,.40955,0.07,0.06
GET - Traffic History,200,195487,203231,260268,287529,304109,48338,307397,52.000%,.29163,2030.03,0.05
TOTAL,800,110146,103451,207790,238789,290388,92,307397,24.125%,1.15903,2017.21,0.19
