Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
GET - Traffic Classification,200,58264,549,123680,38191.21,1.500%,1.15320,0.34,0.19,305.3
GET - Traffic History by ID,200,79367,92,135810,36596.27,22.000%,.67268,0.18,0.11,276.5
GET - Average Speed,200,107466,3191,213905,38357.87,21.000%,.40955,0.07,0.06,183.5
GET - Traffic History,200,195487,48338,307397,52467.44,52.000%,.29163,2030.03,0.05,7128014.9
TOTAL,800,110146,92,307397,66991.32,24.125%,1.15903,2017.21,0.19,1782195.0
