Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
GET - Traffic Classification,150,31725,17640,106261,108020,109909,10784,118510,7.333%,.89991,0.26,0.15
GET - Traffic History by ID,150,65091,97695,132255,139667,159527,7501,159661,18.667%,.57391,0.16,0.10
GET - Average Speed,150,79793,101468,112626,125745,164644,13444,164698,34.667%,.42675,0.08,0.07
GET - Traffic History,150,151557,132901,240205,249502,305606,68444,320081,55.333%,.31957,2070.03,0.05
TOTAL,600,82041,99076,152496,226457,249984,7501,320081,29.000%,1.18677,1922.06,0.19
