Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
GET - Traffic Classification,150,31725,10784,118510,32666.94,7.333%,.89991,0.26,0.15,298.6
GET - Traffic History by ID,150,65091,7501,159661,51338.77,18.667%,.57391,0.16,0.10,280.0
GET - Average Speed,150,79793,13444,164698,40313.00,34.667%,.42675,0.08,0.07,185.2
GET - Traffic History,150,151557,68444,320081,60792.23,55.333%,.31957,2070.03,0.05,6633027.3
TOTAL,600,82041,7501,320081,64575.97,29.000%,1.18677,1922.06,0.19,1658447.8
